,player name,box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
235,Jonathan Kuminga,-2.5,-1.3,-3.9,-2.5,-1.8,-4.3,-2.7,-1.6,-4.3,-0.8
236,Josh Christopher,-1.2,-2.9,-4.1,-0.3,-4.3,-4.6,-1.0,-3.3,-4.3,-0.9
237,Russell Westbrook,-1.0,-2.4,-3.5,-1.9,-0.7,-2.6,-1.3,-2.2,-3.5,-0.9
238,Avery Bradley,-2.8,-1.7,-4.5,-3.1,0.9,-2.2,-3.0,-1.2,-4.3,-1.0
239,Killian Hayes,-3.6,-0.3,-3.9,-3.6,-0.4,-4.0,-3.8,-0.3,-4.1,-1.0
240,Jordan Nwora,-3.2,-1.4,-4.6,-1.1,-1.6,-2.7,-3.0,-1.6,-4.5,-1.0
241,Jeff Green,-2.0,-1.9,-3.9,0.0,-2.9,-2.9,-1.7,-2.2,-3.9,-1.1
242,R.J. Hampton,-3.0,-0.6,-3.6,-5.3,-2.1,-7.4,-3.5,-0.9,-4.5,-1.1
243,Ben McLemore,-1.0,-3.6,-4.6,-4.6,-0.2,-4.7,-1.8,-3.0,-4.8,-1.1
244,Julius Randle,-2.1,-0.9,-3.0,-3.2,-1.7,-4.9,-2.4,-1.2,-3.6,-1.1
245,Doug McDermott,-0.4,-4.2,-4.6,1.4,-5.2,-3.8,-0.1,-4.7,-4.7,-1.2
246,Marcus Morris Sr.,-0.4,-4.0,-4.4,0.0,-3.6,-3.6,-0.3,-4.2,-4.5,-1.3
247,Terrence Ross,-1.0,-3.2,-4.3,-4.1,-4.1,-8.2,-1.6,-3.6,-5.2,-1.8
248,Darius Bazley,-3.6,-0.2,-3.8,-3.2,-4.1,-7.3,-3.6,-1.1,-4.7,-1.9
249,Jalen Green,-1.5,-3.0,-4.4,-5.0,-3.1,-8.1,-2.2,-3.1,-5.3,-2.5
